Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job1,0,0,149770,149770,1,1,1,1.92338,1,1,1,0,1,0,BERTLARGE,1,8417,149770
Job2,600000,600000,126978,126978,1,1,1,1.56469,1,1,1,0,1,0,GPT2_SMALL,1,5968,126978
Job3,1117000,1117000,78711,78711,1,1,1,4.20667,1,1,1,0,1,0,ResNeXt,2,501,78711
Job4,1200000,1200000,233698,233698,1,1,1,3.57714,1,1,1,0,1,0,VGG19,1,10395,233698
Job5,1801000,1801000,131245,131245,1,1,1,1.72136,1,1,1,0,1,0,ResNet50,1,6647,131245
Job6,2400000,2400000,120750,120750,1,1,1,1.7152,1,1,1,0,1,0,ResNeXt,1,4863,120750
Job7,3001000,3001000,114298,114298,1,1,1,1.66927,1,1,1,0,1,0,GPT2_SMALL,1,3130,114298
Job8,3601000,3601000,273797,273797,1,1,1,3.71014,1,1,1,0,1,0,GNMT,1,13107,273797
Job9,4201000,4201000,130072,130072,1,1,1,1.73263,1,1,1,0,1,0,ResNet50,1,6443,130072
Job10,4800000,4800000,115566,115566,1,1,1,1.6571,1,1,1,0,1,0,GPT2_SMALL,1,3349,115566
Job11,5401000,5401000,248216,248216,1,1,1,3.10857,1,1,1,0,1,0,VGG19,1,11449,248216
Job12,6000000,6000000,241994,241994,1,1,1,3.28676,1,1,1,0,1,0,VGG19,1,11198,241994
Job13,6600000,6600000,127726,127726,1,1,1,1.75626,1,1,1,0,1,0,ResNet50,1,6053,127726
Job14,7200000,7200000,121906,121906,1,1,1,1.60234,1,1,1,0,1,0,GPT2_SMALL,1,5156,121906
Job15,7801000,7801000,123034,123034,1,1,1,1.80842,1,1,1,0,1,0,ResNet50,1,5281,123034
Job16,8400000,8400000,243031,243031,1,1,1,3.255,1,1,1,0,1,0,VGG19,1,11253,243031
Job17,9001000,9001000,120638,120638,1,1,1,1.61255,1,1,1,0,1,0,GPT2_SMALL,1,4631,120638
Job18,9601000,9601000,116350,116350,1,1,1,1.76288,1,1,1,0,1,0,ResNeXt,1,3664,116350
Job19,10200000,10200000,121906,121906,1,1,1,1.60234,1,1,1,0,1,0,GPT2_SMALL,1,5158,121906
Job20,10800000,10800000,266562,266562,1,1,1,4.00472,1,1,1,0,1,0,GNMT,1,12471,266562
Job21,11401000,11401000,120638,120638,1,1,1,1.61255,1,1,1,0,1,0,GPT2_SMALL,1,4621,120638
Job22,12000000,12000000,133084,133084,1,1,1,2.17521,1,1,1,0,1,0,BERTLARGE,1,6779,133084
Job23,12601000,12601000,117230,117230,1,1,1,1.75284,1,1,1,0,1,0,ResNeXt,1,3991,117230
Job24,13201000,13201000,279585,279585,1,1,1,3.51304,1,1,1,0,1,0,GNMT,1,13363,279585
Job25,13800000,13800000,126910,126910,1,1,1,1.65765,1,1,1,0,1,0,ResNeXt,1,5915,126910
Job26,14401000,14401000,125380,125380,1,1,1,1.78147,1,1,1,0,1,0,ResNet50,1,5658,125380
Job27,15001000,15001000,136792,136792,1,1,1,2.10806,1,1,1,0,1,0,BERTLARGE,1,7178,136792
Job28,15600000,15600000,128899,128899,1,1,1,1.74426,1,1,1,0,1,0,ResNet50,1,6292,128899
Job29,16201000,16201000,115566,115566,1,1,1,1.6571,1,1,1,0,1,0,GPT2_SMALL,1,3353,115566
Job30,16800000,16800000,131245,131245,1,1,1,1.72136,1,1,1,0,1,0,ResNet50,1,6649,131245
Job31,17401000,17401000,119870,119870,1,1,1,1.72425,1,1,1,0,1,0,ResNeXt,1,4557,119870
Job32,18001000,18001000,126030,126030,1,1,1,1.6653,1,1,1,0,1,0,ResNeXt,1,5801,126030
Job33,18601000,18601000,116834,116834,1,1,1,1.64536,1,1,1,0,1,0,GPT2_SMALL,1,3805,116834
Job34,19200000,19200000,273797,273797,1,1,1,3.71014,1,1,1,0,1,0,GNMT,1,13103,273797
Job35,19704000,19704000,75147,75147,1,1,1,4.96118,1,1,1,0,1,0,ResNeXt,2,378,75147
Job36,19801000,19801000,276691,276691,1,1,1,3.60787,1,1,1,0,1,0,GNMT,1,13228,276691
Job37,20401000,20401000,128899,128899,1,1,1,1.74426,1,1,1,0,1,0,ResNet50,1,6293,128899
Job38,21001000,21001000,146062,146062,1,1,1,1.96955,1,1,1,0,1,0,BERTLARGE,1,8183,146062
Job39,21274000,21274000,83376,83376,1,1,1,6.23325,1,1,1,0,1,0,ResNet50,2,735,83376
Job40,21601000,21601000,133591,133591,1,1,1,1.69983,1,1,1,0,1,0,ResNet50,1,6922,133591
Job41,22200000,22200000,169954,169954,1,1,1,1.47845,1,1,1,0,1,0,ResNet50,1,8782,169954
Job42,22801000,22801000,278138,278138,1,1,1,3.55957,1,1,1,0,1,0,GNMT,1,13315,278138
Job43,23401000,23401000,126553,126553,1,1,1,1.76866,1,1,1,0,1,0,ResNet50,1,5857,126553
Job44,24001000,24001000,135937,135937,1,1,1,1.67954,1,1,1,0,1,0,ResNet50,1,7105,135937
Job45,24601000,24601000,239920,239920,1,1,1,3.35304,1,1,1,0,1,0,VGG19,1,11058,239920
Job46,25201000,25201000,146062,146062,1,1,1,1.96955,1,1,1,0,1,0,BERTLARGE,1,8181,146062
Job47,25801000,25801000,278138,278138,1,1,1,3.55957,1,1,1,0,1,0,GNMT,1,13312,278138
Job48,26401000,26401000,246142,246142,1,1,1,3.1648,1,1,1,0,1,0,VGG19,1,11373,246142
Job49,27001000,27001000,128899,128899,1,1,1,1.74426,1,1,1,0,1,0,ResNet50,1,6281,128899
Job50,27560000,27560000,235076,235076,1,1,1,12.6548,1,1,1,0,1.59768,0,VGG19,2,10568,235076
Job51,27601000,27601000,140500,140500,1,1,1,2.04816,1,1,1,0,2,0,BERTLARGE,1,7780,140500
Job52,28201000,28201000,269456,269456,1,1,1,3.87952,1,1,1,0,1,0,GNMT,1,12833,269456
Job53,28801000,28801000,126030,126030,1,1,1,1.6653,1,1,1,0,1,0,ResNeXt,1,5803,126030
Job54,29401000,29401000,278138,278138,1,1,1,3.55957,1,1,1,0,1,0,GNMT,1,13303,278138
Job55,30002000,30002000,146062,146062,1,1,1,1.96955,1,1,1,0,1,0,BERTLARGE,1,8180,146062
Job56,30600000,30600000,126553,126553,1,1,1,1.76866,1,1,1,0,1,0,ResNet50,1,5860,126553
Job57,31201000,31201000,135937,135937,1,1,1,1.67954,1,1,1,0,1,0,ResNet50,1,7113,135937
Job58,31801000,31801000,120638,120638,1,1,1,1.61255,1,1,1,0,1.17936,0,GPT2_SMALL,1,4620,120638
Job59,31900000,31900000,229271,229271,1,1,1,17.9525,1,1,1,0,1.69747,0,VGG19,2,9949,229271
Job60,31991000,31991000,232754,232754,1,1,1,14.3198,1,1,1,0,1.59406,0,VGG19,2,10347,232754
Job61,32401000,32401000,116350,116350,1,1,1,1.76288,1,1,1,0,1,0,ResNeXt,1,3691,116350
Job62,33001000,33001000,281032,281032,1,1,1,3.46816,1,1,1,0,1,0,GNMT,1,13391,281032
Job63,33601000,33601000,122510,122510,1,1,1,1.69775,1,1,1,0,1,0,ResNeXt,1,5210,122510
Job64,34201000,34201000,144208,144208,1,1,1,1.99441,1,1,1,0,1,0,BERTLARGE,1,8036,144208
Job65,34801000,34801000,279585,279585,1,1,1,3.51304,1,1,1,0,1,0,GNMT,1,13340,279585
Job66,35401000,35401000,119370,119370,1,1,1,1.62311,1,1,1,0,1.52621,0,GPT2_SMALL,1,4413,119370
Job67,35410000,35410000,62814,62814,1,1,1,3.50642,1,1,1,0,2,0,GPT2_SMALL,2,139,62814
Job68,36001000,36001000,151624,151624,1,1,1,1.90191,1,1,1,0,1,0,BERTLARGE,1,8485,151624
Job69,36601000,36601000,266562,266562,1,1,1,4.00472,1,1,1,0,1,0,GNMT,1,12491,266562
Job70,37202000,37202000,130072,130072,1,1,1,1.73263,1,1,1,0,1,0,ResNet50,1,6454,130072
Job71,37801000,37801000,279585,279585,1,1,1,3.51304,1,1,1,0,1,0,GNMT,1,13333,279585
Job72,38400000,38400000,125380,125380,1,1,1,1.78147,1,1,1,0,1,0,ResNet50,1,5655,125380
Job73,39001000,39001000,131310,131310,1,1,1,1.62191,1,1,1,0,1,0,ResNeXt,1,6674,131310
Job74,39601000,39601000,126553,126553,1,1,1,1.76866,1,1,1,0,1,0,ResNet50,1,5837,126553
Job75,40201000,40201000,128670,128670,1,1,1,1.64288,1,1,1,0,1,0,ResNeXt,1,6176,128670
Job76,40801000,40801000,142354,142354,1,1,1,2.02058,1,1,1,0,1,0,BERTLARGE,1,7915,142354
Job77,41401000,41401000,117169,117169,1,1,1,1.88469,1,1,1,0,1,0,ResNet50,1,3901,117169
Job78,42001000,42001000,236809,236809,1,1,1,3.46,1,1,1,0,1,0,VGG19,1,10759,236809
Job79,42601000,42601000,174646,174646,1,1,1,1.45969,1,1,1,0,1,0,ResNet50,1,8836,174646
Job80,43200000,43200000,273797,273797,1,1,1,3.71014,1,1,1,0,1.28049,0,GNMT,1,13097,273797
Job81,43397000,43397000,84117,84117,1,1,1,5.26785,1,1,1,0,1.91298,0,BERTLARGE,2,742,84117
Job82,43801000,43801000,133950,133950,1,1,1,1.60227,1,1,1,0,1,0,ResNeXt,1,6941,133950
Job83,44401000,44401000,275244,275244,1,1,1,3.65802,1,1,1,0,1,0,GNMT,1,13184,275244
Job84,45001000,45001000,276691,276691,1,1,1,3.60787,1,1,1,0,1,0,GNMT,1,13234,276691
Job85,45601000,45601000,132418,132418,1,1,1,1.71043,1,1,1,0,1,0,ResNet50,1,6713,132418
Job86,46202000,46202000,160894,160894,1,1,1,1.80796,1,1,1,0,1,0,BERTLARGE,1,8662,160894
Job87,46801000,46801000,142975,142975,1,1,1,1.62518,1,1,1,0,1,0,ResNet50,1,7983,142975
Job88,47400000,47400000,119370,119370,1,1,1,1.62311,1,1,1,0,1,0,GPT2_SMALL,1,4380,119370
Job89,48003000,48003000,273797,273797,1,1,1,3.71014,1,1,1,0,1,0,GNMT,1,13094,273797
Job90,48601000,48601000,240957,240957,1,1,1,3.31942,1,1,1,0,1,0,VGG19,1,11075,240957
Job91,49202000,49202000,239920,239920,1,1,1,3.35304,1,1,1,0,1,0,VGG19,1,11050,239920
Job92,49802000,49802000,131245,131245,1,1,1,1.72136,1,1,1,0,1,0,ResNet50,1,6625,131245
Job93,50401000,50401000,243031,243031,1,1,1,3.255,1,1,1,0,1,0,VGG19,1,11252,243031
Job94,50889000,50889000,62814,62814,1,1,1,3.50642,1,1,1,0,1,0,GPT2_SMALL,2,149,62814
Job95,51001000,51001000,128899,128899,1,1,1,1.74426,1,1,1,0,1,0,ResNet50,1,6274,128899
Job96,51602000,51602000,245105,245105,1,1,1,3.19405,1,1,1,0,1,0,VGG19,1,11316,245105
Job97,52201000,52201000,120638,120638,1,1,1,1.61255,1,1,1,0,1,0,GPT2_SMALL,1,4671,120638
Job98,52801000,52801000,281032,281032,1,1,1,3.46816,1,1,1,0,1,0,GNMT,1,13381,281032
Job99,53401000,53401000,139230,139230,1,1,1,1.56649,1,1,1,0,1,0,ResNeXt,1,7581,139230
Job100,54000000,54000000,131245,131245,1,1,1,1.72136,1,1,1,0,1,0,ResNet50,1,6624,131245
Job101,54601000,54601000,124270,124270,1,1,1,1.68114,1,1,1,0,1,0,ResNeXt,1,5489,124270
Job102,55201000,55201000,245105,245105,1,1,1,3.19405,1,1,1,0,1,0,VGG19,1,11315,245105
Job103,55802000,55802000,121906,121906,1,1,1,1.60234,1,1,1,0,1,0,GPT2_SMALL,1,5164,121906
Job104,56401000,56401000,109226,109226,1,1,1,1.72281,1,1,1,0,1,0,GPT2_SMALL,1,2015,109226
Job105,57001000,57001000,266562,266562,1,1,1,4.00472,1,1,1,0,1,0,GNMT,1,12475,266562
Job106,57601000,57601000,114298,114298,1,1,1,1.66927,1,1,1,0,1,0,GPT2_SMALL,1,3166,114298
Job107,58202000,58202000,118990,118990,1,1,1,1.73354,1,1,1,0,1,0,ResNeXt,1,4355,118990
Job108,58801000,58801000,266140,266140,1,1,1,1.26049,1,1,1,0,1,0,ResNet50,1,12441,266140
Job109,59401000,59401000,272350,272350,1,1,1,3.76434,1,1,1,0,1,0,GNMT,1,13021,272350
Job110,59888000,59888000,220527,220527,1,1,1,10.7433,1,1,1,0,1.48759,0,GNMT,2,9452,220527
Job111,60001000,60001000,130072,130072,1,1,1,1.73263,1,1,1,0,1.82667,0,ResNet50,1,6432,130072
Job112,60601000,60601000,518510,518510,1,1,1,1.10755,1,1,1,0,1,0,ResNeXt,1,14131,518510
Job113,61201000,61201000,128899,128899,1,1,1,1.74426,1,1,1,0,1,0,ResNet50,1,6286,128899
Job114,61801000,61801000,121906,121906,1,1,1,1.60234,1,1,1,0,3.00203,0,GPT2_SMALL,1,5176,121906
Job115,61838000,61838000,61436,61436,1,1,1,3.71529,1,1,1,0,3.60017,0,GPT2_SMALL,2,118,61436
Job116,61848000,61848000,255475,255475,1,1,1,2.93285,1,1,1,0,3.2556,0,VGG19,1,11671,255475
Job117,61873000,61873000,149770,149770,1,1,1,1.92338,1,1,1,0,4.2293,0,BERTLARGE,1,8415,149770
Job118,61879000,61879000,146494,146494,1,1,1,1.60113,1,1,1,0,4.21583,0,ResNet50,1,8263,146494
Job119,61909000,61909000,117169,117169,1,1,1,1.88469,1,1,1,0,4.08391,0,ResNet50,1,3878,117169
Job120,62067000,62067000,101618,101618,1,1,1,1.82137,1,1,1,0,1.35894,0,GPT2_SMALL,1,1348,101618
Job121,62320000,62320000,95278,95278,1,1,1,1.92668,1,1,1,0,1.14986,0,GPT2_SMALL,1,1119,95278
Job122,62401000,62401000,144208,144208,1,1,1,1.99441,1,1,1,0,1.09901,0,BERTLARGE,1,8101,144208
Job123,63002000,63002000,133950,133950,1,1,1,1.60227,1,1,1,0,1,0,ResNeXt,1,6944,133950
Job124,63600000,63600000,273797,273797,1,1,1,3.71014,1,1,1,0,1,0,GNMT,1,13129,273797
Job125,64201000,64201000,147916,147916,1,1,1,1.9459,1,1,1,0,1,0,BERTLARGE,1,8330,147916
Job126,64801000,64801000,144208,144208,1,1,1,1.99441,1,1,1,0,1,0,BERTLARGE,1,8098,144208
Job127,65402000,65402000,155332,155332,1,1,1,1.86182,1,1,1,0,1,0,BERTLARGE,1,8578,155332
Job128,66002000,66002000,111304,111304,1,1,1,1.97684,1,1,1,0,1,0,ResNet50,1,2433,111304
Job129,66605000,66605000,128899,128899,1,1,1,1.74426,1,1,1,0,1,0,ResNet50,1,6288,128899
Job130,67203000,67203000,244068,244068,1,1,1,3.22411,1,1,1,0,1,0,VGG19,1,11278,244068
Job131,67801000,67801000,283926,283926,1,1,1,3.38305,1,1,1,0,1,0,GNMT,1,13433,283926
Job132,68401000,68401000,139456,139456,1,1,1,1.65123,1,1,1,0,1,0,ResNet50,1,7585,139456
Job133,69002000,69002000,141802,141802,1,1,1,1.63363,1,1,1,0,1,0,ResNet50,1,7804,141802
Job134,69601000,69601000,122510,122510,1,1,1,1.69775,1,1,1,0,1,0,ResNeXt,1,5192,122510
Job135,70201000,70201000,310436,310436,1,1,1,2.18511,1,1,1,0,1,0,VGG19,1,13662,310436
Job136,70801000,70801000,262221,262221,1,1,1,4.21435,1,1,1,0,1,0,GNMT,1,12142,262221
Job137,71407000,71407000,121861,121861,1,1,1,1.8226,1,1,1,0,1,0,ResNet50,1,5146,121861
Job138,72002000,72002000,131245,131245,1,1,1,1.72136,1,1,1,0,1,0,ResNet50,1,6653,131245
Job139,72633000,72633000,151624,151624,1,1,1,1.90191,1,1,1,0,1.81533,0,BERTLARGE,1,8490,151624
Job140,72661000,72661000,246142,246142,1,1,1,3.1648,1,1,1,0,1.50225,0,VGG19,1,11377,246142
Job141,73226000,73226000,279585,279585,1,1,1,3.51304,1,1,1,0,2.10077,0,GNMT,1,13350,279585
Job142,73295000,73295000,123174,123174,1,1,1,1.59247,1,1,1,0,2.78892,0,GPT2_SMALL,1,5382,123174
Job143,73321000,73321000,196933,196933,1,1,1,1.38751,1,1,1,0,2.43074,0,ResNet50,1,9093,196933
Job144,73802000,73802000,278138,278138,1,1,1,3.55957,1,1,1,0,1,0,GNMT,1,13321,278138
Job145,74401000,74401000,338912,338912,1,1,1,2.43976,1,1,1,0,1,0,GNMT,1,13833,338912
Job146,75001000,75001000,126910,126910,1,1,1,1.65765,1,1,1,0,1,0,ResNeXt,1,5930,126910
Job147,75600000,75600000,130782,130782,1,1,1,1.53941,1,1,1,0,1,0,GPT2_SMALL,1,6484,130782
Job148,76201000,76201000,240957,240957,1,1,1,3.31942,1,1,1,0,1,0,VGG19,1,11128,240957
Job149,76801000,76801000,130782,130782,1,1,1,1.53941,1,1,1,0,1,0,GPT2_SMALL,1,6473,130782
Job150,77401000,77401000,122510,122510,1,1,1,1.69775,1,1,1,0,1,0,ResNeXt,1,5193,122510
Job151,78002000,78002000,151624,151624,1,1,1,1.90191,1,1,1,0,1,0,BERTLARGE,1,8488,151624
Job152,78382000,78382000,117648875,117347277,0.866292,0.747288,0.843522,0.748088,1.15643,1,1,1,19.0519,0,VGG19,1,16160,117158559
